"b'Pemerintah membuka opsi sayembara desain istana negara di ibu kota baru, Kalimatan Timur usai rancangan istana negara berbentuk burung garuda menuai kritik dari asosiasi arsitek dan warganet. \nhttps://t.co/4fFsSfwOEL'",Urbanasia
"b'Desain Istana Negara Ibu Kota Baru Belum Final, Pemerintah Buka Opsi Sayembara https://t.co/MxwkDkii2b'",Liputan6.com
"b'Setelah Istana Negara, Nyoman Nuarta Ungkap Desain Masjid Agung Ibu Kota Baru\n(selengkapnya)\nhttps://t.co/rxAXvZjinR\n\n#mediapromoindonesia\n#viral2021 \n#Trending \n#ibukotabaru https://t.co/E43TqAaTPq'",media promo indonesia
"b'Menteri Perencanaan Pembangunan Nasional (PPN)/Kepala Bappenas, Suharso Monoarfa menjelaskan mengenai desain istana negara di Ibu Kota Baru.\n\nhttps://t.co/OQxmof3X31'",CNBC Indonesia
b'Pemerintah Buka Opsi Sayembara Desain Istana Negara di Ibu Kota Baru https://t.co/igP5I995lO',Jawa Pos
b'Sudah melihat desain Istana Negara di Calon Ibukota Baru di Vlognya Mr. President. Melihat Vlog tersebut timbul rasa kasihan karena untuk mewujudkan ambisinya harus menggerus keuangan Negara + Menambah Hutang Negara #kasihan1',Adjie Anderson Gates
"b'Kemarin, sayembara desain Istana Negara sampai 81 juta orang mudik - ANTARA News Jawa Barat https://t.co/WMzK2fFCuh'",Antara Jabar
"b'Kemarin, sayembara desain Istana Negara hingga 81 juta orang bakal mudik https://t.co/WsOJIbbMO2'",ANTARA SULTENG
"b'Tanggapi Protes Desain Garuda Istana Negara IKN, Menteri PPN: Why Not\n\nKlik link untuk baca: https://t.co/t85qRLnCBS \n\nDownload aplikasi https://t.co/L7MtnFqrOU:\nGoogle Play: https://t.co/Q1NAXRDPAv \nApp Store: https://t.co/ErZWHuG7vM'",suryanatoet
"b'Menurut dia, makna dari karya tersebut harus menjadi perhatian karena pemerintah menginginkan Istana Negara di ibu kota baru bersifat Indonesia sentris dan turut melambangkan identitas bangsa - #Money https://t.co/lYnFIzZlLK'",Kompas.com
b'Pemerintah buka sayembara desain Istana Negara di ibu kota baru - ANTARA News Jawa Barat https://t.co/vD54KfwDkL',Antara Jabar
"b'Kemarin, sayembara desain Istana Negara hingga 81 juta orang mudik https://t.co/WDeQRk4oOM'",ANTARA Business News
"b'Tanggapi Protes Desain Garuda Istana Negara IKN, Menteri PPN: Why Not https://t.co/Fy1cxgON7T'",MSNIndonesia
"b'Tanggapi Protes Desain Garuda Istana Negara IKN, Menteri PPN: Why Not https://t.co/FA2ZOp5Tpd'",Kompas Ekonomi
b'Menteri PPN Suharso Manoarfa tanggapi protes desain garuda pada Istana Negara Ibu Kota Negara (IKN) atau ibu kota baru karya Nyoman Nuarta. https://t.co/Vn3ezjfKax',Kompas.com
b'@kompascom Masa aku mikirnya desainnya disamakan saja dengan desain istana negara saat ini\nBiar ikonik tuh lhooo\nKan bentuk istana negara sekarang sudah tercetak di benak hampir seluruh warga Indonesiaaa',eragon's dragon
b'Desain Istana Negara IKN Mau Disayembarakan? Ini Kata Pemerintah https://t.co/Mg46k2asdS',Kompas Ekonomi
b'Pemerintah membuka opsi untuk melakukan sayembara arsitek desain Istana Negara yang akan dibangun di Ibu Kota Negara (IKN) atau ibu kota baru. https://t.co/uZE3LYDuh7',Kompas.com
"b'Kritik Desain Istana Negara Ibukota Baru, Guspardi Gaus: Harusnya Disayembarakan\xc2\xa0Dulu https://t.co/0rfRpg95j3'",radaraktualdotcom
b'Pemerintah Buka Opsi Sayembara Desain Istana Negara di Ibu Kota Baru\n\nhttps://t.co/eG6LfyKeSK',BORNEONEWS
b'Pemerintah buka opsi sayembara desain Istana Negara di ibu kota baru- ANTARA News \xe2\x80\x93\xc2\xa0Flash https://t.co/8mgohNwlbp',Opsiin
b'Pemerintah Buka Opsi Gelar Sayembara Desain Istana Negara di Ibu Kota Baru https://t.co/G71jXockXo',Bisnis.com
b'Pemerintah buka opsi sayembara desain Istana Negara di ibu kota baru https://t.co/rATwFRjBH2',ANTARA Business News
b'@ndraperkasa bahas desain istana negara yang baru gak kang?',Bintang
"b'Anggota DPR RI Komisi II Usulkan Desain Istana Negara Disayembarakan, Agar Masyarakat Bisa Ikut Terlibat\nhttps://t.co/yyT4ss2Ctw'",CerdikIndonesiaTwit
"b'ketika PEMATUNG bikin desain bangunan (istana negara, masjid nasional, bandara, taman/landskap),\n\nudahlah yang ARSITEK jualan gorengan aja. \n\nngga ngelarang sih bikin desain, tapi kalo eksposurnya kelewatan, yg kerja dibidang engineering bikin adonan kue aja udah'",Gea dan Gelatonya
b'Guspardi Gaus Sarankan Desain Istana Negara di IKN Disayembarakan\nhttps://t.co/Hx5cmMJbxA',NusaDaily.com
b'Guspardi Minta Desain Istana Negara di Ibu Kota Negara Baru Disayembarakan - Fraksi PAN DPR RI https://t.co/cC0Ao9M2Ey',Fraksi PAN DPR RI
b'Anggota DPR sarankan desain Istana Negara di IKN disayembarakan https://t.co/QxfapGsRX5',Bocoran Togel
b'GG PAN Minta Desain Istana Negara Lebih Partisipatif https://t.co/hH2tauMgGa',GoSumbarcom
b'Anggota DPR sarankan desain Istana Negara di IKN disayembarakan https://t.co/4eZRRKzASQ',PREDIKSI TOGEL WAP | DEWITOGEL
"b'""Keterlibatan masyarakat itu sangat penting, yang terlibat representatif dari masyarakat dari kaum profesional yang mengerti dan memang ahli di bidangnya. Kita harap Pemerintah menggelar sayembara walaupun Pemerintah mengatakan masih pra-desain,"" https://t.co/hjhIk1F6lz'",Antara Kalteng
"b'Sahabat bgmn menurut Anda desain #istana negara baru ini? Saya tdk damai sejahtera, spt IBLIS RAKSASA YG MENGUASAI. Sebelum nya ada Bina Graha, bhs Sansekerta artinya ""bina iblis"" dlm bhs Inggris ""evil management"". Graha artinya iblis, sedang Grha (tanpa ""a"") artinya rumah. https://t.co/EnLoRR1Mxr'",Christovita Wiloto
"b'Sahabat bgmn menurut Anda desain #istana negara baru ini? Saya tdk damai sejahtera, spt IBLIS RAKSASA YG MENGUASAI. Sebelum nya ada Bina Graha, bhs Sansekerta artinya ""bina iblis"" dlm bhs Inggris ""evil management"". Graha artinya iblis, sedang Grha (tanpa ""a"") artinya rumah. https://t.co/bhcuLk6Tah'",Christovita Wiloto
"b'Sahabat bgmn menurut Anda desain #istana negara baru ini? Saya tdk damai sejahtera, spt IBLIS RAKSASA YG MENGUASAI. Sebelum nya ada Bina Graha, bhs Sansekerta artinya ""bina iblis"" dlm bhs Inggris ""evil management"". Graha artinya iblis, sedang Grha (tanpa ""a"") artinya rumah. https://t.co/kRTS19E5qu'",Christovita Wiloto
"b'Sahabat bgmn menurut Anda desain #istana negara baru ini? Saya tdk damai sejahtera, spt IBLIS RAKSASA YG MENGUASAI. Sebelum nya ada Bina Graha, bhs Sansekerta artinya ""bina iblis"" dlm bhs Inggris ""evil management"". Graha artinya iblis, sedang Grha (tanpa ""a"") artinya rumah. https://t.co/um2AzfOhc5'",Christovita Wiloto
b'Sejumlah akun turut serta memviralkan gambar desain istana negara yang sempat ramai diperbincangkan di jagat maya. Akun Twitter milik arsitek @rizkidwika dan @ogiehart pu turut serta mengomentari hal tersebut. Seperti apa respons warganet lainnya? https://t.co/Fgh5RFaie6',Netray
b'Sayembarakan Desain Istana Negara Di IKN Agar Masyarakat Merasa Lebih Memiliki https://t.co/WkjgTIpvy0',amir fiqi
"b'Biasanya @KemenPU urusan ginian, @BappenasRI ga sekalian kontruksi?\n\nBappenas Kumpulkan 5 Asosiasi Bahas Desain Garuda Istana Negara https://t.co/mejkVRk1eS'",WismaKarya
"b'Desain Istana Negara Ibukota Baru Dikritik, Guspardi Gaus: Seharusnya Disayembarakan Dahulu https://t.co/bppPsI2yhV'",REPUBLIK MERDEKA | RMOL.ID
"b'Desain Istana Negara Ibukota Baru Dikritik, Guspardi Gaus: Seharusnya Disayembarakan Dahulu\nhttps://t.co/gZDpTJYBms'",MEDIA OPOSISI CERDAS
"b'Desain Istana Negara Baru Masih Sebatas Pembahasan, Kata Menteri Perencanaan Pembangunan Nasional https://t.co/4jhJYupRgL \n\n#indonesia #istananegara #ibukotabaru #pembangunan'",Selly Kurniawan
