Date,Receiveno,Hour,Dept,Category,Sub Category,Type_Product,Product_Name,Qty,Price,Value
23-Jun-20,JAK0211.58.20200623.0331,19,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE MGNM PREM FILT 12S,1,19000,19000
24-Jun-20,JAK0211.58.20200624.0231,19,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE MGNM PREM FILT 12S,1,19000,19000
25-Jun-20,JAK0211.58.20200625.0284,20,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE MGNM PREM FILT 12S,1,19000,19000
24-Jul-20,JAK0211.58.20200724.0122,13,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE MGNM PREM FILT 12S,1,19000,19000
25-Jul-20,JAK0211.58.20200725.0111,14,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE MGNM PREM FILT 12S,2,19000,38000
26-Jul-20,JAK0211.58.20200726.0106,18,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE MGNM PREM FILT 12S,1,19000,19000
27-Jul-20,JAK0211.58.20200727.0175,17,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE MGNM PREM FILT 12S,1,19000,19000
2-Aug-20,JAK0211.58.20200802.0155,20,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE MGNM PREM FILT 12S,1,19000,19000
14-Aug-20,JAK0211.58.20200814.0228,19,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE MGNM PREM FILT 12S,1,19000,19000
21-Aug-20,JAK0211.58.20200821.0227,21,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE MGNM PREM FILT 12S,1,19000,19000
25-Aug-20,JAK0211.58.20200825.0205,17,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE MGNM PREM FILT 12S,1,19000,19000
28-Aug-20,JAK0211.58.20200828.0266,19,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE MGNM PREM FILT 12S,1,19000,19000
29-Aug-20,JAK0211.58.20200829.0165,15,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE MGNM PREM FILT 12S,1,19000,19000
29-Aug-20,JAK0211.58.20200829.0183,16,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE MGNM PREM FILT 12S,1,19000,19000
30-Aug-20,JAK0211.58.20200830.0036,10,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE MGNM PREM FILT 12S,1,19000,19000
1-Sep-20,JAK0211.58.20200901.0118,12,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE MGNM PREM FILT 12S,1,19000,19000
2-Sep-20,JAK0211.58.20200902.0190,15,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE MGNM PREM FILT 12S,1,19000,19000
4-Sep-20,JAK0211.58.20200904.0145,13,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE MGNM PREM FILT 12S,1,19000,19000
4-Sep-20,JAK0211.58.20200904.0249,19,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE MGNM PREM FILT 12S,1,19000,19000
5-Sep-20,JAK0211.58.20200905.0208,19,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE MGNM PREM FILT 12S,1,19000,19000
6-Sep-20,JAK0211.58.20200906.0169,21,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE MGNM PREM FILT 12S,1,19000,19000
7-Sep-20,JAK0211.58.20200907.0187,16,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE MGNM PREM FILT 12S,1,19000,19000
